Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
kuala terengganu,75.0,MY,1561953326.0,74.0,5.33,103.14,87.8,5.82
husavik,33.0,CA,1561953452.0,43.0,50.56,-96.99,72.0,4.0
rikitea,59.0,PF,1561953452.0,61.0,-23.12,-134.97,69.86,12.64
severo-kurilsk,0.0,RU,1561953346.0,93.0,50.68,156.12,44.09,15.82
mataura,58.0,NZ,1561953361.0,67.0,-46.19,168.86,57.99,5.01
carnarvon,100.0,ZA,1561953453.0,78.0,-30.97,22.13,41.53,22.62
avarua,100.0,CK,1561953453.0,64.0,-21.21,-159.78,71.6,17.22
jacareacanga,98.0,BR,1561953454.0,63.0,-6.22,-57.76,75.6,2.35
codrington,90.0,AU,1561952886.0,82.0,-28.95,153.24,68.0,6.93
hermanus,100.0,ZA,1561953351.0,97.0,-34.42,19.24,53.01,15.99
haimen,95.0,CN,1561953454.0,64.0,31.87,121.18,89.01,4.85
hasaki,75.0,JP,1561953206.0,100.0,35.73,140.83,73.99,3.36
hazorasp,0.0,UZ,1561953455.0,27.0,41.32,61.08,89.6,6.93
severo-yeniseyskiy,0.0,RU,1561953455.0,40.0,60.37,93.04,82.43,4.18
dikson,99.0,RU,1561953455.0,75.0,73.51,80.55,39.98,4.25
rantauprapat,100.0,ID,1561953456.0,55.0,2.1,99.83,81.29,1.68
ken caryl,75.0,US,1561953457.0,88.0,39.58,-105.11,70.0,8.05
kruisfontein,95.0,ZA,1561953457.0,68.0,-34.0,24.73,54.92,11.16
castro,75.0,CL,1561953457.0,100.0,-42.48,-73.76,35.6,5.82
albany,75.0,US,1561953193.0,64.0,42.65,-73.75,68.0,10.29
eyl,77.0,SO,1561953458.0,55.0,7.98,49.82,79.94,29.48
georgetown,20.0,GY,1561953284.0,94.0,6.8,-58.16,78.8,4.7
terra santa,72.0,BR,1561953459.0,79.0,-2.1,-56.49,76.58,2.24
balabac,100.0,PH,1561953459.0,69.0,7.99,117.06,86.12,15.61
kapaa,90.0,US,1561953459.0,83.0,22.08,-159.32,80.6,8.05
cape town,75.0,ZA,1561953460.0,93.0,-33.93,18.42,55.0,5.82
hilo,90.0,US,1561953357.0,69.0,19.71,-155.08,80.6,12.75
deputatskiy,100.0,RU,1561952866.0,37.0,69.3,139.9,64.61,9.17
khatanga,0.0,RU,1561953228.0,47.0,71.98,102.47,56.69,10.07
port alfred,10.0,ZA,1561953461.0,75.0,-33.59,26.89,60.01,3.0
nanortalik,67.0,GL,1561953461.0,76.0,60.14,-45.24,36.6,2.37
busselton,34.0,AU,1561953205.0,58.0,-33.64,115.35,66.0,12.66
pasighat,75.0,IN,1561953462.0,56.0,28.06,95.33,88.15,0.98
lhokseumawe,99.0,ID,1561953462.0,54.0,5.18,97.15,81.76,2.8
vaini,75.0,IN,1561953304.0,94.0,15.34,74.49,73.4,4.7
houma,0.0,CN,1561953462.0,18.0,35.63,111.36,89.32,5.03
ushuaia,75.0,AR,1561953463.0,55.0,-54.81,-68.31,37.4,19.46
callaway,1.0,US,1561953463.0,78.0,46.98,-95.91,75.2,2.46
yellowknife,75.0,CA,1561953381.0,39.0,62.45,-114.38,48.2,20.8
bada,58.0,NG,1561953463.0,99.0,7.45,3.75,72.44,2.98
muros,75.0,ES,1561953464.0,100.0,42.77,-9.06,64.0,8.05
mayor pablo lagerenza,2.0,PY,1561953464.0,81.0,-19.93,-60.77,60.85,5.88
jamestown,100.0,AU,1561953368.0,49.0,-33.21,138.6,55.0,14.23
fairbanks,90.0,US,1561953412.0,93.0,64.84,-147.72,64.99,5.82
punta arenas,75.0,CL,1561953227.0,80.0,-53.16,-70.91,35.6,16.11
zhigansk,100.0,RU,1561953465.0,41.0,66.77,123.37,73.05,16.37
henties bay,0.0,NA,1561953466.0,85.0,-22.12,14.28,55.0,1.01
bluff,25.0,AU,1561953303.0,36.0,-23.58,149.07,73.82,13.29
staryy nadym,100.0,RU,1561953466.0,62.0,65.61,72.68,69.47,17.6
narsaq,47.0,GL,1561953396.0,75.0,60.91,-46.05,44.6,2.24
richards bay,0.0,ZA,1561952877.0,50.0,-28.77,32.06,72.27,22.77
salalah,90.0,OM,1561953467.0,88.0,17.01,54.1,82.4,4.7
inhambane,0.0,MZ,1561953467.0,89.0,-23.87,35.38,63.02,4.41
shakhunya,43.0,RU,1561952910.0,92.0,57.68,46.61,52.3,3.56
erenhot,7.0,CN,1561952896.0,24.0,43.65,111.97,75.84,10.87
benjamin constant,75.0,BR,1561953468.0,100.0,-4.38,-70.03,77.0,3.36
cordoba,37.0,AR,1561953469.0,63.0,-27.78,-67.24,42.63,1.1
itarema,38.0,BR,1561953469.0,89.0,-2.92,-39.92,73.68,5.84
new norfolk,40.0,AU,1561953195.0,42.0,-42.78,147.06,62.6,24.16
ponta do sol,0.0,BR,1561953469.0,71.0,-20.63,-46.0,60.05,2.57
mumford,25.0,GH,1561952990.0,98.0,5.26,-0.76,72.4,2.53
pasni,47.0,PK,1561953470.0,77.0,25.26,63.48,84.82,4.27
upernavik,13.0,GL,1561953217.0,82.0,72.79,-56.15,40.13,4.32
victoria,75.0,BN,1561953404.0,74.0,5.28,115.24,91.4,4.7
tairua,62.0,NZ,1561953471.0,92.0,-37.02,175.85,57.99,3.0
port lincoln,100.0,AU,1561953373.0,70.0,-34.72,135.86,59.31,26.91
saint-pierre,100.0,FR,1561953471.0,87.0,48.95,4.24,64.4,2.24
katsuura,75.0,JP,1561952898.0,94.0,33.93,134.5,77.0,5.82
wanaka,76.0,NZ,1561953472.0,62.0,-44.7,169.14,53.01,1.01
bere,12.0,ID,1561953472.0,47.0,-8.54,120.44,88.66,3.94
kamaishi,75.0,JP,1561953473.0,73.0,39.28,141.86,75.2,2.24
luderitz,7.0,NA,1561953473.0,93.0,-26.65,15.16,55.4,8.05
egvekinot,83.0,RU,1561953373.0,57.0,66.32,-179.17,55.28,14.9
fortuna,90.0,US,1561953124.0,87.0,40.6,-124.16,60.8,9.17
port hardy,20.0,CA,1561953474.0,72.0,50.7,-127.42,62.6,12.75
ashland,1.0,US,1561953474.0,88.0,38.48,-82.64,75.99,2.86
shelburne,1.0,CA,1561953186.0,87.0,44.08,-80.2,63.0,3.36
jieshou,0.0,CN,1561952896.0,24.0,33.26,115.35,94.0,9.89
touros,56.0,BR,1561953343.0,77.0,-5.2,-35.46,80.34,21.83
la ronge,75.0,CA,1561953377.0,45.0,55.1,-105.3,66.2,4.7
najran,40.0,SA,1561953475.0,14.0,17.54,44.22,89.6,6.93
nome,1.0,US,1561953476.0,100.0,30.04,-94.42,81.0,6.62
butaritari,100.0,KI,1561953182.0,78.0,3.07,172.79,82.43,8.63
sarangani,94.0,PH,1561953476.0,76.0,5.4,125.46,82.32,5.61
san patricio,100.0,PY,1561953473.0,95.0,-26.98,-56.83,56.49,10.22
cayenne,90.0,GF,1561953477.0,100.0,4.94,-52.33,73.4,2.08
garango,19.0,BF,1561953478.0,58.0,11.8,-0.55,82.54,6.38
gushi,16.0,CN,1561953478.0,30.0,32.17,115.65,90.6,7.83
sao filipe,0.0,CV,1561953478.0,84.0,14.9,-24.5,73.59,21.88
cherskiy,100.0,RU,1561953384.0,89.0,68.75,161.3,39.86,4.83
pisco,90.0,PE,1561953479.0,82.0,-13.71,-76.2,64.4,11.41
ilulissat,40.0,GL,1561953052.0,80.0,69.22,-51.1,39.2,3.36
tasiilaq,100.0,GL,1561953480.0,81.0,65.61,-37.64,42.8,13.87
cidreira,100.0,BR,1561953480.0,81.0,-30.17,-50.22,58.06,8.05
tikhvin,100.0,RU,1561953480.0,71.0,59.64,33.53,57.0,1.01
dingle,100.0,PH,1561952906.0,87.0,11.0,122.67,78.4,9.73
pevek,100.0,RU,1561953387.0,96.0,69.7,170.27,32.75,11.77
nikolskoye,0.0,RU,1561953302.0,68.0,59.7,30.79,64.4,8.95
sidi ali,4.0,DZ,1561953481.0,84.0,36.1,0.42,72.72,8.86
lingdong,2.0,CN,1561953481.0,79.0,28.06,114.24,86.44,2.48
isla mujeres,90.0,MX,1561953482.0,100.0,21.23,-86.73,75.2,2.24
necochea,0.0,AR,1561953362.0,90.0,-38.55,-58.74,39.99,1.99
rameshki,78.0,RU,1561953482.0,86.0,57.35,36.05,52.85,5.06
brae,100.0,GB,1561953483.0,93.0,60.4,-1.35,53.6,10.29
saint-philippe,1.0,CA,1561953483.0,88.0,45.36,-73.48,66.2,3.56
karratha,0.0,AU,1561953218.0,15.0,-20.74,116.85,80.41,12.64
ensenada,0.0,MX,1561953397.0,88.0,31.86,-116.62,66.99,3.0
levski,0.0,BG,1561953484.0,100.0,43.36,25.14,69.01,2.24
puerto ayora,71.0,EC,1561953484.0,95.0,-0.74,-90.35,70.0,11.97
mount gambier,100.0,AU,1561953484.0,75.0,-37.83,140.78,56.9,33.46
barrow,0.0,AR,1561953485.0,71.0,-38.31,-60.23,37.86,12.17
geraldton,75.0,CA,1561953423.0,63.0,49.72,-86.95,64.4,9.17
svetlaya,100.0,RU,1561953485.0,98.0,46.54,138.33,48.66,3.78
saskylakh,100.0,RU,1561953486.0,76.0,71.97,114.09,41.75,15.43
cienfuegos,100.0,CU,1561953486.0,88.0,22.15,-80.44,77.0,5.82
bredasdorp,100.0,ZA,1561953486.0,76.0,-34.53,20.04,55.4,20.8
iwaki,75.0,JP,1561953486.0,78.0,37.05,140.89,73.4,2.24
tuktoyaktuk,75.0,CA,1561953487.0,70.0,69.44,-133.03,46.4,11.41
kawalu,8.0,ID,1561953013.0,50.0,-7.38,108.21,78.07,4.38
maues,100.0,BR,1561953487.0,83.0,-3.38,-57.72,78.14,1.7
san buenaventura,0.0,MX,1561953487.0,34.0,27.06,-101.55,82.23,17.63
pimentel,24.0,BR,1561953488.0,90.0,-3.7,-45.5,72.4,2.08
sur,14.0,OM,1561952903.0,38.0,22.57,59.53,94.97,7.02
khandyga,46.0,RU,1561953489.0,31.0,62.65,135.58,77.5,2.55
arraial do cabo,0.0,BR,1561953328.0,69.0,-22.97,-42.02,72.33,7.4
tiksi,80.0,RU,1561953400.0,77.0,71.64,128.87,44.59,9.66
pangnirtung,16.0,CA,1561953489.0,47.0,66.15,-65.72,44.88,2.73
te anau,81.0,NZ,1561953474.0,85.0,-45.41,167.72,49.18,3.6
lata,41.0,IN,1561953372.0,65.0,30.78,78.62,46.07,4.97
uthal,74.0,PK,1561953490.0,68.0,25.81,66.62,86.95,5.39
mackay,5.0,CA,1561953490.0,43.0,53.65,-115.58,71.6,2.24
ligayan,100.0,PH,1561953491.0,80.0,4.65,119.47,83.33,17.72
bandarbeyla,33.0,SO,1561953491.0,50.0,9.49,50.81,82.68,27.87
basco,1.0,US,1561953491.0,78.0,40.33,-91.2,75.2,11.41
tuatapere,0.0,NZ,1561953391.0,67.0,-46.13,167.69,57.99,5.01
chokurdakh,4.0,RU,1561953492.0,39.0,70.62,147.9,56.24,7.58
katima mulilo,0.0,NA,1561953492.0,70.0,-17.5,24.28,44.6,3.44
muzhi,93.0,RU,1561953036.0,66.0,65.4,64.7,70.15,9.78
leningradskiy,100.0,RU,1561953493.0,97.0,69.38,178.42,39.89,5.26
astara,75.0,AZ,1561953493.0,77.0,38.42,48.87,66.2,5.82
east london,0.0,ZA,1561953493.0,67.0,-33.02,27.91,62.6,11.41
shimoda,75.0,JP,1561953494.0,88.0,34.7,138.93,77.0,2.24
upington,18.0,ZA,1561953494.0,66.0,-28.46,21.24,50.0,14.99
acapulco,75.0,MX,1561953035.0,58.0,16.86,-99.88,86.0,3.36
kibala,20.0,TD,1561953495.0,94.0,9.11,18.35,73.4,6.93
juneau,90.0,US,1561953379.0,64.0,58.3,-134.42,69.8,4.7
waingapu,0.0,ID,1561953495.0,59.0,-9.65,120.26,81.64,13.85
esperance,90.0,AU,1561953496.0,72.0,-33.86,121.89,59.0,17.22
torbay,90.0,CA,1561953496.0,100.0,47.66,-52.73,51.01,2.24
chingirlau,39.0,KZ,1561953013.0,82.0,51.09,54.08,60.25,9.08
kalengwa,0.0,ZM,1561953496.0,57.0,-13.47,25.0,47.81,3.09
ribeira grande,73.0,PT,1561953349.0,92.0,38.52,-28.7,68.62,14.56
san carlos,100.0,NI,1561953497.0,1.0,11.12,-84.78,71.01,11.99
oarai,90.0,JP,1561953498.0,94.0,36.31,140.57,81.0,8.05
tarakan,75.0,ID,1561953498.0,74.0,3.3,117.63,84.2,5.82
norman wells,75.0,CA,1561953464.0,44.0,65.28,-126.83,59.0,16.11
nantucket,90.0,US,1561952944.0,88.0,41.28,-70.1,64.99,10.29
la reforma,75.0,MX,1561953498.0,70.0,25.08,-108.06,86.0,9.17
tromso,0.0,NO,1561953499.0,75.0,69.65,18.96,51.8,24.16
murmashi,0.0,RU,1561953499.0,61.0,68.82,32.82,50.0,6.71
tokur,59.0,RU,1561953499.0,43.0,53.13,132.9,74.49,5.32
tiarei,75.0,PF,1561953500.0,65.0,-17.53,-149.33,77.0,5.82
moree,27.0,AU,1561952679.0,37.0,-29.46,149.84,73.0,11.41
the valley,40.0,AI,1561953500.0,74.0,18.22,-63.06,82.4,10.29
