Price,City,State,Mileage,Vin,make,model,year
8995,El Paso, TX,35725,19VDE2E53EE000083,ACURA,ILX,2014
10888,Long Island City, NY,19606,19VDE1F52DE012636,ACURA,ILX,2013
8995,El Paso, TX,48851,19VDE2E52DE000025,ACURA,ILX,2013
10999,Windsor, CO,39922,19VDE1F71EE003817,ACURA,ILX,2014
14799,Lindon, UT,22142,19UDE2F32GA001284,ACURA,ILX,2016
7989,Miami, FL,105246,JH4CU2F83CC019895,ACURA,TSX,2012
14490,Greatneck, NY,34032,JH4CU2F84EC002686,ACURA,TSX,2014
13995,West Jordan, UT,32384,JH4CU2F64DC006203,ACURA,TSX,2013
10495,Waterbury, CT,57596,19VDE2E50DE000234,ACURA,ILX,2013
9995,El Paso, TX,63887,19VDE1F50DE010450,ACURA,ILX,2013
